r_id,timestamp,x,y,z,activity
2806,2024-09-03T13:38:21.203+0100,0.857,-1.681,9.773,1
2806,2024-09-03T13:38:21.339+0100,2.069,-0.9,9.275,1
2806,2024-09-03T13:38:21.470+0100,2.238,-1.033,10.124,1
2806,2024-09-03T13:38:21.602+0100,2.31,-1.086,9.507,1
2806,2024-09-03T13:38:21.737+0100,2.381,-1.453,9.727,1
2806,2024-09-03T13:38:21.871+0100,2.76,-1.7,9.141,1
2806,2024-09-03T13:38:22.006+0100,2.599,-2.002,8.583,1
2806,2024-09-03T13:38:22.140+0100,3.333,-1.761,8.689,1
2806,2024-09-03T13:38:22.276+0100,3.564,-1.767,8.921,1
2806,2024-09-03T13:38:22.404+0100,3.67,-1.787,9.092,1
2806,2024-09-03T13:38:22.536+0100,3.479,-1.968,8.891,1
2806,2024-09-03T13:38:22.668+0100,3.62,-2.001,8.76,1
2806,2024-09-03T13:38:22.802+0100,3.629,-2.198,8.703,1
2806,2024-09-03T13:38:22.937+0100,3.435,-2.308,8.712,1
2806,2024-09-03T13:38:23.071+0100,3.279,-2.282,8.785,1
2806,2024-09-03T13:38:23.203+0100,3.167,-2.267,8.839,1
2806,2024-09-03T13:38:23.338+0100,3.095,-2.213,8.781,1
2806,2024-09-03T13:38:23.470+0100,2.976,-2.155,9.368,1
2806,2024-09-03T13:38:23.599+0100,2.177,-2.221,9.441,1
2806,2024-09-03T13:38:23.733+0100,0.891,-2.495,9.006,1
2806,2024-09-03T13:38:23.870+0100,0.303,-2.027,10.202,1
2806,2024-09-03T13:38:24.004+0100,0.469,-0.545,10.595,1
2806,2024-09-03T13:38:24.142+0100,1.394,0.468,10.338,1
2806,2024-09-03T13:38:24.270+0100,-0.222,0.351,10.139,1
2806,2024-09-03T13:38:24.404+0100,1.605,2.082,9.427,1
2806,2024-09-03T13:38:24.534+0100,0.523,1.927,10.031,1
2806,2024-09-03T13:38:24.717+0100,-1.561,2.366,11.156,1
2806,2024-09-03T13:38:24.935+0100,1.391,5.436,8.073,1
2806,2024-09-03T13:38:25.070+0100,0.714,4.787,9.047,1
2806,2024-09-03T13:38:25.204+0100,-0.861,3.516,7.941,1
2806,2024-09-03T13:38:25.334+0100,-0.024,3.109,9.896,1
2806,2024-09-03T13:38:25.469+0100,0.095,4.122,8.642,1
2806,2024-09-03T13:38:25.597+0100,0.31,4.35,8.542,1
2806,2024-09-03T13:38:25.730+0100,0.549,4.013,9.335,1
2806,2024-09-03T13:38:25.867+0100,0.321,3.777,9.246,1
2806,2024-09-03T13:38:26.001+0100,0.607,3.518,9.211,1
2806,2024-09-03T13:38:26.134+0100,0.314,3.593,9.017,1
2806,2024-09-03T13:38:26.260+0100,0.473,4.002,9.144,1
2806,2024-09-03T13:38:26.392+0100,0.544,4.143,9.031,1
2806,2024-09-03T13:38:26.528+0100,0.243,3.886,8.741,1
2806,2024-09-03T13:38:26.660+0100,0.951,3.55,9.442,1
2806,2024-09-03T13:38:26.795+0100,0.861,3.709,9.118,1
2806,2024-09-03T13:38:26.930+0100,0.694,3.675,9.065,1
2806,2024-09-03T13:38:27.064+0100,0.59,3.746,8.804,1
2806,2024-09-03T13:38:27.192+0100,0.787,3.628,9.354,1
2806,2024-09-03T13:38:27.341+0100,0.446,3.623,9.102,1
2806,2024-09-03T13:38:27.459+0100,0.662,3.562,8.968,1
2806,2024-09-03T13:38:27.595+0100,0.832,3.781,8.843,1
2806,2024-09-03T13:38:27.726+0100,0.604,3.937,8.879,1
2806,2024-09-03T13:38:27.861+0100,1.187,4.161,8.709,1
2806,2024-09-03T13:38:27.996+0100,1.08,4.159,8.448,1
2806,2024-09-03T13:38:28.129+0100,0.819,3.878,9.16,1
2806,2024-09-03T13:38:28.263+0100,0.37,3.745,8.577,1
2806,2024-09-03T13:38:28.396+0100,-0.438,3.887,8.492,1
2806,2024-09-03T13:38:28.523+0100,1.909,4.443,9.186,1
2806,2024-09-03T13:38:28.658+0100,1.251,3.821,9.481,1
2806,2024-09-03T13:38:28.792+0100,0.979,3.572,9.141,1
2806,2024-09-03T13:38:28.926+0100,1.674,3.423,9.269,1
2806,2024-09-03T13:38:29.113+0100,0.936,2.525,9.124,1
2806,2024-09-03T13:38:29.244+0100,0.695,1.408,9.943,1
2806,2024-09-03T13:38:29.379+0100,0.787,0.773,9.878,1
2806,2024-09-03T13:38:29.506+0100,-0.541,0.004,9.939,1
2806,2024-09-03T13:38:29.641+0100,0.421,-0.968,9.799,1
2806,2024-09-03T13:38:29.773+0100,0.279,-2.579,11.695,1
2806,2024-09-03T13:38:29.976+0100,1.118,-2.036,8.697,1
2806,2024-09-03T13:38:30.110+0100,1.987,-0.94,8.779,1
2806,2024-09-03T13:38:30.241+0100,1.805,-1.183,9.385,1
2806,2024-09-03T13:38:30.377+0100,1.487,-1.653,9.052,1
2806,2024-09-03T13:38:30.507+0100,1.45,-1.49,8.804,1
2806,2024-09-03T13:38:30.638+0100,2.291,-1.028,9.47,1
2806,2024-09-03T13:38:30.830+0100,3.031,-0.564,9.492,1
2806,2024-09-03T13:38:30.906+0100,3.242,-0.556,9.501,1
2806,2024-09-03T13:38:31.038+0100,3.234,-0.977,9.458,1
2806,2024-09-03T13:38:31.174+0100,2.789,-1.264,9.172,1
2806,2024-09-03T13:38:31.307+0100,2.678,-1.429,9.151,1
2806,2024-09-03T13:38:31.441+0100,2.559,-1.366,9.143,1
2806,2024-09-03T13:38:31.572+0100,2.661,-1.125,9.356,1
2806,2024-09-03T13:38:31.705+0100,2.661,-1.004,9.538,1
2806,2024-09-03T13:38:31.839+0100,2.445,-1.121,9.573,1
2806,2024-09-03T13:38:31.973+0100,2.35,-1.274,9.357,1
2806,2024-09-03T13:38:32.109+0100,2.253,-1.469,9.267,1
2806,2024-09-03T13:38:32.241+0100,2.202,-1.495,9.123,1
2806,2024-09-03T13:38:32.371+0100,2.057,-1.678,9.214,1
2806,2024-09-03T13:38:32.503+0100,1.915,-1.614,9.317,1
2806,2024-09-03T13:38:32.636+0100,1.52,-1.835,9.34,1
2806,2024-09-03T13:38:32.770+0100,0.832,-2.09,9.589,1
2806,2024-09-03T13:38:32.904+0100,0.405,-1.638,9.532,1
2806,2024-09-03T13:38:33.039+0100,-0.833,-1.857,9.298,1
2806,2024-09-03T13:38:33.173+0100,-1.102,-0.616,10.627,1
2806,2024-09-03T13:38:33.306+0100,-1.646,-0.449,9.682,1
2806,2024-09-03T13:38:33.439+0100,-1.571,0.348,9.681,1
2806,2024-09-03T13:38:33.570+0100,-0.846,1.345,9.583,1
2806,2024-09-03T13:38:33.702+0100,-1.199,1.982,10.076,1
2806,2024-09-03T13:38:33.839+0100,-1.406,2.408,9.607,1
2806,2024-09-03T13:38:33.970+0100,-1.917,3.056,9.373,1
2806,2024-09-03T13:38:34.104+0100,-2.164,3.654,8.688,1
2806,2024-09-03T13:38:34.288+0100,1.276,5.338,8.519,1
2806,2024-09-03T13:38:34.420+0100,0.446,3.505,9.698,1
2806,2024-09-03T13:38:34.550+0100,0.038,2.902,10.105,1
2806,2024-09-03T13:38:34.685+0100,-0.888,3.604,8.716,1
2806,2024-09-03T13:38:34.819+0100,-0.741,3.512,8.766,1
2806,2024-09-03T13:38:34.951+0100,-0.136,3.592,9.473,1
2806,2024-09-03T13:38:35.098+0100,-0.346,3.038,10.054,1
2806,2024-09-03T13:38:35.231+0100,-0.325,3.537,9.136,1
2806,2024-09-03T13:38:35.415+0100,-0.08,3.456,9.147,1
2806,2024-09-03T13:38:35.498+0100,0.065,3.309,9.179,1
2806,2024-09-03T13:38:35.631+0100,0.092,3.212,9.26,1
2806,2024-09-03T13:38:35.767+0100,0.26,3.118,9.335,1
2806,2024-09-03T13:38:35.900+0100,0.412,3.191,9.3,1
2806,2024-09-03T13:38:36.032+0100,0.43,3.252,9.179,1
2806,2024-09-03T13:38:36.165+0100,0.265,3.076,9.285,1
2806,2024-09-03T13:38:36.301+0100,0.341,3.071,9.33,1
2806,2024-09-03T13:38:36.433+0100,0.105,3.266,10.793,1
2806,2024-09-03T13:38:36.563+0100,0.025,2.891,8.253,1
2806,2024-09-03T13:38:36.696+0100,-0.596,2.883,8.469,1
2806,2024-09-03T13:38:36.834+0100,-0.765,2.029,9.651,1
2806,2024-09-03T13:38:36.963+0100,-2.343,2.947,9.668,1
2806,2024-09-03T13:38:37.099+0100,-0.706,2.65,8.776,1
2806,2024-09-03T13:38:37.234+0100,-0.407,2.15,10.841,1
2806,2024-09-03T13:38:37.364+0100,-0.042,2.99,9.724,1
2806,2024-09-03T13:38:37.494+0100,0.639,2.503,7.433,1
2806,2024-09-03T13:38:37.630+0100,0.557,3.414,11.051,1
2806,2024-09-03T13:38:37.761+0100,1.098,3.028,8.914,1
2806,2024-09-03T13:38:37.897+0100,1.15,2.492,9.473,1
2806,2024-09-03T13:38:38.030+0100,0.889,2.4,9.233,1
2806,2024-09-03T13:38:38.163+0100,0.855,2.52,9.197,1
2806,2024-09-03T13:38:38.293+0100,1.023,2.553,9.614,1
2806,2024-09-03T13:38:38.427+0100,0.291,2.9,9.065,1
2806,2024-09-03T13:38:38.558+0100,-0.132,3.779,8.874,1
2806,2024-09-03T13:38:38.694+0100,0.033,4.345,8.743,1
2806,2024-09-03T13:38:38.826+0100,0.483,4.817,8.563,1
2806,2024-09-03T13:38:38.963+0100,0.243,5.196,7.633,1
2806,2024-09-03T13:38:39.095+0100,-0.074,4.381,8.155,1
2806,2024-09-03T13:38:39.228+0100,-0.538,2.854,9.984,1
2806,2024-09-03T13:38:39.361+0100,0.83,2.922,10.994,1
2806,2024-09-03T13:38:39.496+0100,0.426,3.19,8.207,1
2806,2024-09-03T13:38:39.627+0100,0.986,3.994,10.288,1
2806,2024-09-03T13:38:39.762+0100,0.773,4.721,8.094,1
2806,2024-09-03T13:38:39.894+0100,0.185,4.939,8.965,1
2806,2024-09-03T13:38:40.026+0100,-0.493,4.811,7.831,1
2806,2024-09-03T13:38:40.160+0100,-1.126,4.866,8.643,1
2806,2024-09-03T13:38:40.294+0100,-0.324,4.988,8.232,1
2806,2024-09-03T13:38:40.429+0100,-0.726,4.765,8.618,1
2806,2024-09-03T13:38:40.557+0100,-0.672,5.285,8.494,1
2806,2024-09-03T13:38:40.689+0100,-0.452,5.149,8.225,1
2806,2024-09-03T13:38:40.827+0100,-0.559,4.388,8.84,1
2806,2024-09-03T13:38:40.958+0100,0.392,3.509,8.502,1
2806,2024-09-03T13:38:41.093+0100,1.503,3.137,8.032,1
2806,2024-09-03T13:38:41.227+0100,1.989,2.591,9.146,1
2806,2024-09-03T13:38:41.359+0100,1.139,2.076,9.648,1
2806,2024-09-03T13:38:41.490+0100,1.08,2.353,9.235,1
2806,2024-09-03T13:38:41.635+0100,0.952,2.527,9.254,1
2806,2024-09-03T13:38:41.756+0100,1.045,2.485,9.513,1
2806,2024-09-03T13:38:41.890+0100,1.198,2.501,9.464,1
2806,2024-09-03T13:38:42.023+0100,1.226,2.252,8.41,1
2806,2024-09-03T13:38:42.157+0100,0.914,1.95,9.644,1
2806,2024-09-03T13:38:42.289+0100,0.885,1.79,11.636,1
2806,2024-09-03T13:38:42.424+0100,2.16,3.657,9.836,1
2806,2024-09-03T13:38:42.556+0100,1.254,2.429,9.099,1
2806,2024-09-03T13:38:42.687+0100,2.121,2.252,6.001,1
2807,2024-09-05T09:31:03.823+0100,0.879,5.013,8.15,2
2807,2024-09-05T09:31:03.983+0100,0.108,4.973,9,2
2807,2024-09-05T09:31:04.142+0100,-0.168,4.652,8.765,2
2807,2024-09-05T09:31:04.307+0100,-0.084,4.523,8.622,2
2807,2024-09-05T09:31:04.465+0100,-0.194,4.587,8.854,2
2807,2024-09-05T09:31:04.628+0100,-0.309,4.609,8.885,2
2807,2024-09-05T09:31:04.786+0100,-0.184,4.599,8.887,2
2807,2024-09-05T09:31:04.945+0100,-0.34,4.554,8.815,2
2807,2024-09-05T09:31:05.107+0100,-0.476,4.518,9.074,2
2807,2024-09-05T09:31:05.267+0100,-0.436,4.525,8.923,2
2807,2024-09-05T09:31:05.426+0100,-0.577,4.283,9.11,2
2807,2024-09-05T09:31:05.587+0100,-0.347,4.432,8.947,2
2807,2024-09-05T09:31:05.746+0100,-0.098,4.556,8.859,2
2807,2024-09-05T09:31:05.906+0100,-0.405,3.967,8.782,2
2807,2024-09-05T09:31:06.067+0100,-2.854,3.084,10.063,2
2807,2024-09-05T09:31:06.227+0100,-0.881,3.792,8.914,2
2807,2024-09-05T09:31:06.385+0100,-1.283,3.582,9.086,2
2807,2024-09-05T09:31:06.546+0100,-1.453,3.723,9.364,2
2807,2024-09-05T09:31:06.707+0100,-1.183,3.764,9.23,2
2807,2024-09-05T09:31:06.867+0100,-1.398,3.646,9.038,2
2807,2024-09-05T09:31:07.026+0100,-1.19,3.733,9.064,2
2807,2024-09-05T09:31:07.186+0100,-1.439,3.661,9.359,2
2807,2024-09-05T09:31:07.347+0100,-1.702,3.601,9.419,2
2807,2024-09-05T09:31:07.506+0100,-1.482,3.632,9.452,2
2807,2024-09-05T09:31:07.665+0100,-1.674,3.457,9.285,2
2807,2024-09-05T09:31:07.827+0100,-1.626,3.555,9.251,2
2807,2024-09-05T09:31:07.986+0100,-1.63,3.596,9.179,2
2807,2024-09-05T09:31:08.146+0100,-1.616,3.61,9.349,2
2807,2024-09-05T09:31:08.306+0100,-1.537,3.654,9.278,2
2807,2024-09-05T09:31:08.464+0100,-1.537,3.615,9.177,2
2807,2024-09-05T09:31:08.630+0100,-1.535,3.711,9.359,2
2807,2024-09-05T09:31:08.785+0100,-1.549,3.668,9.445,2
2807,2024-09-05T09:31:08.945+0100,-1.381,3.649,9.285,2
